Rank,Nom,Platforme,Année,Genre,Editeur,Ventes
91,GrandTheftAuto:LibertyCityStories,16,2005,8,3,7.72
92,SuperMarioGalaxy2,1,2010,2,1,7.69
93,StarWarsBattlefront(2015),11,2015,6,8,7.67
94,CallofDuty:AdvancedWarfare,11,2014,6,5,7.6
95,TheLegendofZelda:OcarinaofTime,12,1998,8,1,7.6
96,CrashBandicoot2:CortexStrikesBack,13,1997,2,4,7.58
97,SuperMarioBros.2,2,1988,2,1,7.46
98,SuperSmashBros.forWiiUand3DS,10,2014,9,1,7.45
99,CallofDuty:WorldatWar,5,2008,6,5,7.37
100,Battlefield3,5,2011,6,8,7.34
101,TheLegendofZelda:TwilightPrincess,1,2006,8,1,7.31
102,CallofDuty:BlackOps3,17,2015,6,5,7.3
103,JustDance,1,2009,0,6,7.27
104,Battlefield3,6,2011,6,8,7.23
105,NeedforSpeedUnderground,7,2003,3,8,7.2
106,Tekken3,13,1998,9,4,7.16
107,CrashBandicoot3:Warped,13,1998,2,4,7.13
108,SuperSmashBros.Melee,18,2001,9,1,7.07
109,MarioKart8,19,2014,3,1,6.96
110,Fallout4,11,2015,4,7,6.96
111,MarioKart:DoubleDash!!,18,2003,3,1,6.95
112,JustDance4,1,2012,0,6,6.91
113,FIFA14,6,2013,1,8,6.9
114,NeedforSpeedUnderground2,7,2004,3,8,6.9
115,MedalofHonor:Frontline,7,2002,6,8,6.83
116,Uncharted3:Drake'sDeception,6,2011,8,4,6.83
117,CrashBandicoot,13,1996,2,4,6.82
118,ZumbaFitness,1,2010,1,12,6.81
119,GearsofWar2,5,2008,6,2,6.76
120,Uncharted2:AmongThieves,6,2009,8,4,6.73
121,CallofDuty4:ModernWarfare,6,2007,6,5,6.72
122,FIFA12,6,2011,1,8,6.69
123,BigBrainAcademy,4,2005,0,1,6.67
124,RedDeadRedemption,6,2010,8,3,6.6
125,FIFA15,11,2014,1,8,6.59
126,DonkeyKongCountryReturns,1,2010,2,1,6.59
127,TheElderScrollsV:Skyrim,6,2011,4,7,6.56
128,TheLegendofZelda,2,1986,8,1,6.51
129,Assassin'sCreedIII,6,2012,8,6,6.5
130,Halo:CombatEvolved,14,2001,6,2,6.43
131,PokémonEmeraldVersion,9,2004,4,1,6.41
132,KingdomHearts,7,2002,4,4,6.4
133,PokémonCrystalVersion,3,2000,4,1,6.39
134,Halo3:ODST,5,2009,6,2,6.36
135,RedDeadRedemption,5,2010,8,3,6.34
136,SuperMarioSunshine,18,2002,2,1,6.31
137,StreetFighterII:TheWorldWarrior,8,1992,9,13,6.3
138,WorldofWarcraft,15,2004,4,5,6.28
139,Driver,13,1999,8,14,6.27
140,KinectSports,5,2010,1,2,6.24
141,GearsofWar3,5,2011,6,2,6.24
142,GearsofWar,5,2006,6,2,6.11
143,MetalGearSolid2:SonsofLiberty,7,2001,8,15,6.05
144,SonictheHedgehog2,21,1992,2,9,6.03
145,MetalGearSolid4:GunsofthePatriots,6,2008,8,15,6.03
146,MetalGearSolid,13,1998,8,15,6.03
147,TheLastofUs,6,2013,8,16,5.99
148,FinalFantasyXII,7,2006,4,10,5.95
149,LittleBigPlanet,6,2008,2,4,5.92
150,DragonQuestIX:SentinelsoftheStarrySkies,4,2009,4,1,5.84
151,LEGOStarWars:TheCompleteSaga,1,2007,8,17,5.83
